OverallQual,OverallCond,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,SalePrice,Age
6,6,0,0,2,0,3,1,7,1,2,190000,33
6,4,0,0,2,0,4,1,7,0,1,136900,52
7,5,0,0,2,1,3,1,7,1,2,180000,10
7,5,1,0,2,1,4,1,10,1,3,383970,0
6,5,1,0,2,0,3,1,7,2,2,217000,54
6,8,1,0,2,1,3,1,9,1,1,259500,62
6,5,0,0,2,1,2,1,5,1,2,176000,8
5,5,0,1,1,0,3,1,6,1,1,139000,47
5,5,0,0,1,1,2,1,5,0,2,155000,1
7,5,1,0,3,0,5,1,11,2,3,320000,20
6,5,0,0,2,1,3,1,8,1,2,163990,1
6,5,1,0,1,0,1,1,4,2,2,180000,37
4,5,0,0,1,0,3,1,4,0,1,100000,68
6,7,0,0,1,0,3,1,5,0,1,136000,50
6,5,0,0,2,0,2,1,5,0,2,153900,15
6,5,0,0,2,0,3,1,7,1,2,181000,30
6,8,1,0,1,0,2,1,5,0,0,84500,71
6,5,0,0,2,0,2,1,5,1,2,128000,31
5,7,0,0,1,0,3,1,5,1,0,87000,77
6,5,0,0,1,1,3,1,6,1,2,155000,40
5,7,0,1,1,1,3,1,6,0,2,150000,48
7,6,0,0,2,1,4,1,8,2,2,226000,40
6,5,1,0,2,1,3,1,7,1,2,244000,9
5,6,1,0,1,0,3,1,7,0,2,150750,48
8,5,1,0,2,0,2,1,6,0,2,220000,8
5,6,0,0,2,1,3,1,7,1,2,180000,38
7,6,0,0,2,0,3,1,7,1,2,174000,38
5,5,0,0,2,0,3,1,5,1,1,143000,40
7,5,0,0,3,0,5,2,9,0,3,171000,18
8,5,0,0,2,1,3,1,7,2,3,230000,9
6,5,1,0,2,1,3,1,7,0,2,231500,12
4,5,0,0,1,0,3,1,5,1,0,115000,39
7,5,1,0,2,0,3,1,7,0,2,260000,1
5,4,0,0,2,0,4,1,6,0,2,166000,58
7,5,1,0,2,0,3,1,6,0,2,204000,10
5,5,1,0,2,0,6,2,10,0,2,125000,43
6,5,0,0,2,0,3,1,7,0,2,130000,2
5,7,1,0,1,0,2,1,5,0,1,105000,78
7,5,0,0,2,1,3,1,8,1,2,222500,9
7,5,1,0,1,0,3,1,6,0,0,141000,4
5,4,0,0,1,0,3,1,7,0,1,115000,70
5,6,0,0,1,1,3,1,5,0,2,122000,32
8,5,1,0,2,0,2,1,6,1,3,372402,1
6,5,0,0,2,1,4,1,8,1,2,190000,35
6,7,1,0,1,0,1,1,4,1,2,235000,48
6,5,0,0,1,0,4,1,7,0,1,125000,83
6,5,0,0,1,0,2,1,5,0,0,79000,84
5,7,0,0,1,0,2,1,5,0,2,109500,56
8,5,0,0,2,1,4,1,8,1,3,269500,1
7,5,0,0,2,1,3,1,8,1,2,254900,6
7,5,1,0,2,1,4,1,9,1,2,320000,1
6,6,0,0,2,0,3,1,6,0,2,162500,24
9,5,1,0,2,1,3,1,10,2,3,412500,5
7,5,0,0,2,0,3,1,7,1,2,220000,5
4,6,0,0,1,0,1,1,4,0,0,103200,51
6,7,0,0,2,0,3,1,5,0,1,152000,81
5,7,1,0,2,0,4,2,6,0,0,127500,68
5,5,1,0,1,0,2,1,7,3,1,190000,54
8,5,1,0,1,1,3,1,8,1,3,325624,0
7,5,0,0,2,1,3,1,7,1,2,183500,3
8,6,0,0,2,1,2,1,6,1,2,228000,25
5,6,0,0,1,1,2,1,7,0,2,128500,66
6,5,1,0,1,0,3,1,7,2,2,215000,50
7,7,1,0,2,0,2,1,5,1,2,239000,19
6,5,1,0,1,1,3,1,6,1,2,163000,47
6,5,1,0,2,0,3,1,7,1,2,184000,22
6,7,1,0,2,0,4,1,7,1,2,243000,57
6,5,0,1,2,1,4,1,8,1,2,211000,19
5,5,1,0,2,0,4,1,8,1,2,172500,48
9,5,1,0,2,0,1,1,9,1,3,501837,1
5,6,0,0,1,0,2,1,5,0,2,100000,84
6,5,0,0,2,1,3,1,5,1,2,177000,7
7,6,0,0,1,1,4,1,9,1,1,200100,86
5,6,0,0,1,0,3,1,7,1,1,120000,50
7,5,0,0,2,1,3,1,6,0,2,200000,5
5,8,0,0,1,0,3,1,5,0,2,127000,98
10,9,0,0,2,1,4,1,12,2,3,475000,114
7,5,1,0,2,0,3,1,6,0,2,173000,19
5,7,0,0,2,1,3,1,8,0,1,135000,93
5,5,2,0,0,2,2,2,6,2,2,153337,30
8,5,1,0,1,1,0,1,5,1,2,286000,7
8,8,0,0,2,1,3,1,10,2,2,315000,75
7,9,1,0,1,1,4,1,7,0,2,184000,35
7,5,1,0,2,0,3,1,6,0,2,192000,10
7,5,0,0,2,0,3,1,7,0,2,130000,2
5,7,0,0,1,0,3,1,5,0,1,127000,36
6,6,0,0,2,1,3,1,7,1,2,148500,33
7,5,1,0,2,0,3,1,8,1,3,311872,0
8,4,1,1,2,0,4,1,8,1,2,235000,88
6,6,0,0,1,0,5,1,8,0,0,104000,97
8,5,1,0,2,0,3,1,7,1,3,274900,5
4,5,0,0,2,0,2,1,5,0,2,140000,7
6,6,0,1,2,0,3,1,6,2,2,171500,31
6,6,0,0,2,0,2,1,6,0,1,112000,82
6,5,1,0,1,0,1,1,3,1,2,149000,4
5,7,0,0,1,1,2,1,5,0,1,110000,62
7,5,0,0,2,0,3,1,5,0,2,180500,19
5,5,0,0,1,1,3,1,8,1,1,143900,45
4,5,1,0,1,0,3,1,6,1,1,141000,48
7,5,1,0,2,1,3,1,7,1,2,277000,19
6,7,1,0,1,0,3,1,6,0,2,145000,44
5,6,1,0,1,0,2,1,5,0,0,98000,83
6,5,0,0,2,0,3,1,6,0,2,186000,1
7,5,1,0,2,1,3,1,7,1,2,252678,0
5,5,0,1,1,0,3,1,5,0,2,156000,11
6,7,0,0,1,1,3,1,6,0,1,161750,33
5,6,0,1,1,0,2,1,6,1,1,134450,49
7,5,1,0,2,0,3,1,8,0,2,210000,4
4,4,0,0,1,0,3,1,8,0,1,107000,81
7,9,0,1,1,1,3,1,8,2,2,311500,69
7,5,0,0,2,0,2,1,5,0,2,167240,1
7,5,0,0,2,0,2,1,5,0,2,204900,0
6,5,0,0,2,1,4,1,8,1,2,200000,7
6,6,1,0,2,1,3,1,6,1,2,179900,31
4,6,0,0,1,0,2,1,4,0,2,97000,38
10,5,0,0,2,0,3,1,8,1,3,386250,6
5,5,0,0,2,1,3,1,6,0,1,112000,38
7,5,0,0,2,1,4,1,9,1,3,290000,12
6,6,0,0,1,1,2,1,5,0,1,106000,38
5,5,0,0,1,0,3,1,5,1,1,125000,43
7,5,0,0,2,0,2,1,7,1,2,192500,4
6,6,1,0,1,0,3,1,6,0,1,148000,51
8,5,1,0,2,1,4,1,9,1,3,403000,14
6,5,0,0,1,1,2,1,5,1,1,94500,34
5,6,1,0,1,0,3,1,5,0,1,128200,34
6,5,1,0,2,1,4,1,8,2,2,216500,8
6,3,0,0,1,1,2,1,5,0,1,89500,37
7,5,0,0,2,0,3,1,6,0,2,185500,6
7,7,0,0,2,1,3,1,7,0,2,194500,17
8,5,0,0,2,0,3,1,7,0,3,318000,0
6,4,0,0,1,1,3,1,7,1,1,113000,65
8,5,1,0,2,0,3,1,7,0,2,262500,2
5,9,0,0,1,0,2,1,4,0,0,110500,62
5,4,0,0,1,0,3,1,6,0,1,79000,106
6,6,0,0,1,1,3,1,6,1,1,120000,29
7,5,1,0,2,1,3,1,8,2,2,205000,16
7,5,0,1,2,0,3,1,6,1,2,241500,18
6,8,0,0,2,0,4,2,9,0,1,137000,96
6,5,0,0,1,0,2,1,5,1,2,140000,52
7,5,0,0,2,1,3,1,8,0,2,180000,4
6,7,0,1,2,0,4,1,7,2,2,277000,49
3,2,0,0,1,0,3,1,6,0,0,76500,70
8,5,1,1,2,0,2,1,5,1,2,235000,1
6,5,0,0,2,1,3,1,6,0,2,173000,4
6,7,0,1,2,0,3,1,7,0,1,158000,43
5,6,1,0,1,0,3,1,5,0,1,145000,53
7,5,0,0,2,1,4,1,8,1,2,230000,7
6,5,0,0,2,1,3,1,7,0,2,207500,5
7,5,1,0,2,1,3,1,8,1,2,220000,3
7,5,0,0,2,1,3,1,7,1,2,231500,7
5,5,0,0,1,0,2,1,4,0,1,97000,52
6,5,1,0,1,0,3,1,6,1,2,176000,47
8,5,0,0,2,1,3,1,10,1,3,276000,0
6,7,1,0,1,0,3,1,6,1,2,151000,29
5,7,1,0,1,0,3,1,6,0,2,130000,81
5,5,0,0,1,0,2,1,4,0,2,73000,83
6,6,0,0,2,0,3,1,7,1,2,175500,27
6,5,1,0,2,1,3,1,8,1,2,185000,9
5,8,0,0,2,1,4,1,8,1,1,179500,69
5,6,0,0,1,0,2,1,4,1,1,120500,68
6,7,1,0,1,1,3,1,6,1,1,148000,31
8,5,0,0,2,1,3,1,8,1,3,266000,0
7,7,1,0,1,0,2,1,5,2,2,241500,54
8,7,0,0,2,1,4,1,9,1,3,290000,11
6,6,1,0,2,0,3,1,6,1,1,139000,51
5,7,0,0,1,0,2,1,5,0,1,124500,25
7,7,0,0,2,1,3,1,5,0,2,205000,84
7,5,0,0,2,0,3,1,7,0,2,201000,7
4,5,0,0,1,0,2,1,4,0,2,141000,59
9,5,0,0,2,1,3,1,8,1,3,415298,1
7,5,0,0,2,1,4,1,8,1,2,192000,31
7,6,0,0,2,1,3,1,7,1,2,228500,18
6,5,0,0,2,0,2,1,5,0,2,185000,0
7,5,1,0,2,0,2,1,6,1,2,207500,2
8,5,0,0,2,0,3,1,6,1,3,244600,1
6,5,1,0,2,0,2,1,5,0,2,179200,15
7,5,0,0,2,1,2,1,5,0,2,164700,1
6,7,0,0,1,1,3,1,7,1,2,159000,44
4,4,0,0,1,0,3,1,5,0,0,88000,35
5,5,0,0,1,0,3,1,5,0,1,122000,43
6,7,0,0,1,0,3,1,7,0,1,153575,92
8,5,0,0,2,1,3,1,8,1,2,233230,0
5,6,1,0,2,0,6,1,9,0,0,135900,96
5,4,0,0,1,1,3,1,8,1,1,131000,60
7,7,1,0,2,1,3,1,9,1,2,235000,29
6,5,1,0,1,0,3,1,7,2,2,167000,56
6,6,1,0,1,0,3,1,6,0,2,142500,22
5,5,0,0,1,1,4,1,6,0,1,152000,57
7,5,0,0,2,1,3,1,7,1,2,239000,10
6,6,0,1,1,2,3,1,7,1,2,175000,39
6,8,0,1,1,0,3,1,6,1,1,158500,59
5,5,1,0,1,0,2,1,5,2,1,157000,53
8,5,0,0,2,1,4,1,9,1,2,267000,9
7,5,0,0,2,0,3,1,6,1,3,205000,5
5,7,1,0,1,0,3,1,5,0,2,149900,34
7,9,0,0,3,0,3,1,10,1,3,295000,128
8,5,1,0,2,0,3,1,8,0,3,305900,3
7,5,1,0,2,1,4,1,8,1,3,225000,17
6,7,0,0,1,0,3,1,6,0,0,89500,88
4,5,0,0,1,0,1,1,4,0,2,82500,69
9,5,1,0,2,0,3,1,8,3,3,360000,3
6,5,0,0,2,1,3,1,6,1,2,165600,13
6,6,1,0,1,0,2,1,5,1,1,132000,61
5,7,1,0,1,0,3,1,5,1,2,119900,67
7,5,2,0,2,0,3,1,8,2,2,375000,44
7,7,0,1,1,1,3,1,6,1,2,178000,81
7,5,1,0,2,1,3,1,6,1,2,188500,5
7,7,1,0,2,1,4,1,10,1,2,260000,29
8,5,0,0,2,1,3,1,8,1,3,270000,1
7,5,1,0,2,1,4,1,9,1,3,260000,16
7,5,1,0,2,0,3,1,6,2,2,187500,29
9,5,0,0,3,1,4,1,9,0,3,342643,0
8,5,1,0,2,1,4,1,10,1,3,354000,3
7,5,1,0,2,1,4,1,8,1,2,301000,21
3,8,1,0,1,0,3,1,6,0,1,126175,51
7,7,0,0,2,1,5,1,11,1,2,242000,43
5,6,0,0,1,0,2,1,5,0,2,87000,66
8,5,2,0,1,1,1,1,6,2,2,324000,15
6,5,0,0,1,1,3,1,7,0,1,145250,46
6,6,0,0,2,0,5,1,10,0,2,214500,93
5,5,0,0,1,0,3,1,6,0,1,78000,89
5,4,0,1,2,0,6,2,10,0,1,119000,43
5,6,1,0,1,0,3,1,6,0,1,139000,49
8,5,1,0,2,0,3,1,7,1,3,284000,6
7,5,1,0,2,0,2,1,6,1,2,207000,4
6,5,1,0,2,1,3,1,7,2,2,192000,10
5,6,2,0,2,0,3,1,7,2,2,228950,43
9,5,1,0,2,0,3,1,8,1,3,377426,2
7,5,1,0,2,0,3,1,7,0,2,214000,6
7,7,1,0,2,0,3,1,8,0,2,202500,22
6,7,0,0,1,0,3,1,6,0,1,155000,51
8,5,0,0,2,1,4,1,9,0,2,202900,8
4,4,0,0,1,0,2,1,4,0,1,82000,59
3,4,0,0,2,0,2,2,6,0,2,87500,57
9,5,0,0,2,0,2,1,6,1,2,266000,3
5,3,0,0,1,1,3,1,4,0,1,85000,34
6,5,0,0,1,0,3,1,6,1,1,140200,67
6,8,0,0,1,0,2,1,5,0,1,151500,47
6,5,1,0,2,0,3,1,6,2,2,157500,49
7,5,1,0,2,1,2,1,6,0,2,154000,5
9,5,1,0,2,1,4,1,10,2,3,437154,1
9,5,0,0,2,0,2,1,6,1,2,318061,0
7,5,1,0,1,1,2,1,6,1,2,190000,20
5,6,0,1,1,0,3,1,5,0,1,95000,67
6,8,0,0,1,0,2,1,5,0,2,105900,82
6,5,0,0,1,0,2,1,6,2,1,140000,66
6,5,1,0,2,0,3,1,6,0,2,177500,12
6,6,1,0,2,0,3,1,6,0,2,173000,17
5,5,1,0,1,1,3,1,6,1,2,134000,31
5,4,0,1,1,0,3,1,6,0,1,130000,48
8,5,1,0,2,1,3,1,7,1,2,280000,8
6,6,1,0,1,0,2,1,5,1,2,156000,29
5,5,1,0,1,0,3,1,8,0,1,145000,68
7,5,0,0,3,0,4,1,7,1,2,198500,6
6,8,0,0,1,1,2,1,5,0,1,118000,37
6,5,1,0,2,1,3,1,6,1,2,190000,30
5,7,0,0,1,0,3,1,6,0,1,147000,89
6,5,1,0,1,1,3,1,6,2,2,159000,46
6,5,0,1,1,0,3,1,6,1,1,165000,46
5,6,0,0,1,0,2,1,7,1,1,132000,56
5,7,1,0,1,0,3,1,7,1,2,162000,51
6,5,0,0,2,1,3,1,7,1,2,172400,6
4,4,0,0,2,0,4,1,7,1,2,134432,49
6,5,1,0,1,0,2,1,4,0,1,125000,26
5,6,1,0,1,0,3,1,5,0,1,123000,56
7,5,0,0,2,1,4,1,8,1,2,219500,4
1,1,1,0,0,1,1,1,4,0,0,61000,87
5,5,0,0,1,0,2,1,5,0,2,148000,10
8,5,0,0,3,0,4,1,8,1,2,340000,3
9,2,1,0,1,1,1,1,8,1,3,394432,0
6,5,0,0,2,1,3,1,7,1,2,179000,9
5,6,0,0,2,0,3,1,6,1,1,127000,86
7,5,1,0,2,0,2,1,5,1,2,187750,0
7,5,0,0,2,1,3,1,8,0,2,213500,1
6,3,0,0,1,0,2,1,5,0,2,76000,81
6,5,1,0,2,1,3,1,9,2,2,240000,15
8,5,0,0,2,0,2,1,6,1,2,192000,6
5,3,0,0,1,0,5,1,8,0,0,81000,96
6,6,1,0,1,0,3,1,6,1,1,125000,33
7,5,0,0,2,0,3,1,6,0,2,191000,9
10,5,1,0,2,1,3,1,9,1,3,426000,1
5,8,1,0,1,0,4,1,7,0,1,119000,108
6,5,1,0,2,1,3,1,7,1,2,215000,8
5,7,0,0,1,0,3,1,5,0,1,106500,48
4,5,0,0,1,0,2,1,4,2,0,100000,65
5,6,0,0,1,0,2,1,5,0,1,109000,67
5,6,1,0,1,0,3,1,6,0,1,129000,54
5,5,0,0,1,0,2,1,6,0,2,123000,37
5,5,0,0,2,0,4,1,8,1,1,169500,45
5,2,0,0,1,0,2,1,6,0,1,67000,87
7,5,1,0,2,0,2,1,7,0,2,241000,3
8,5,1,0,1,1,1,1,4,2,2,245500,12
7,5,0,0,2,0,3,1,6,1,2,164990,1
5,8,0,0,1,0,2,1,4,0,1,108000,68
8,5,0,0,2,1,4,1,10,1,2,258000,8
6,5,0,0,2,1,3,1,7,1,2,168000,12
4,4,1,0,2,0,3,1,8,1,2,150000,33
6,5,0,0,1,0,3,1,6,0,1,115000,72
6,7,0,0,2,0,4,1,8,0,1,177000,93
7,5,0,0,2,1,3,1,9,1,3,280000,1
8,5,1,0,2,1,3,1,8,1,3,339750,1
5,3,0,0,1,0,3,1,5,0,1,60000,51
5,5,1,0,1,0,3,1,5,0,2,145000,51
7,5,1,0,2,1,2,1,7,1,2,222000,1
5,6,0,0,1,0,2,1,5,1,2,115000,83
7,5,0,1,2,1,3,1,9,1,3,228000,15
7,5,0,0,2,0,3,1,6,0,2,181134,0
6,7,0,0,1,1,3,1,6,1,2,149500,28
6,6,1,0,2,1,4,1,10,1,3,239000,89
5,6,1,0,1,1,3,1,7,0,1,126000,67
5,6,1,0,1,0,3,1,6,1,1,142000,42
7,5,2,0,2,0,2,2,8,0,4,206300,11
6,7,0,1,2,0,3,1,8,1,2,215000,32
5,5,0,0,1,0,2,1,4,0,2,113000,54
8,5,1,0,2,1,4,1,8,1,3,315000,10
6,5,1,0,1,0,2,1,6,1,1,139000,52
7,8,0,0,1,1,3,1,6,2,1,135000,63
7,5,1,1,2,0,2,1,5,1,2,275000,20
4,6,0,0,1,0,3,1,5,0,1,109008,51
7,5,1,0,2,0,2,1,6,0,2,195400,0
6,5,1,0,2,0,3,1,6,1,2,175000,21
6,5,0,0,1,1,2,1,4,0,1,85400,37
6,7,0,0,1,0,4,1,7,0,0,79900,88
5,5,1,0,1,1,2,1,6,0,2,122500,36
6,5,0,0,2,1,3,1,7,1,2,181000,11
4,7,1,0,1,0,1,1,3,0,0,81000,36
7,6,1,0,2,1,3,1,6,1,2,212000,13
6,8,0,0,1,0,2,1,6,0,2,116000,86
6,7,0,0,1,0,2,1,4,0,1,119000,83
5,6,0,0,1,0,2,1,4,1,1,90350,94
6,8,0,0,1,0,3,1,7,0,2,110000,89
10,5,1,0,2,0,2,1,10,2,3,555000,1
4,4,0,0,2,0,4,2,8,0,0,118000,53
5,7,0,0,2,0,3,1,8,1,2,162900,78
7,5,0,0,2,0,2,1,6,1,3,172500,1
7,5,1,0,2,1,4,1,8,1,2,210000,14
6,5,0,0,1,0,3,1,7,1,2,127500,53
6,6,0,0,2,1,2,1,6,1,2,190000,44
7,5,0,0,2,1,4,1,10,1,2,199900,8
6,6,0,0,2,0,3,1,7,1,1,119500,69
3,7,0,0,1,1,2,1,6,0,1,120000,59
6,8,0,0,1,0,2,1,5,0,1,110000,76
7,5,1,0,2,0,2,1,5,2,2,280000,31
6,5,1,0,2,1,3,1,7,0,2,204000,11
8,5,0,0,2,1,3,1,6,0,2,210000,1
5,5,2,0,2,0,4,2,8,0,2,188000,30
7,6,0,0,1,1,3,1,6,1,2,175500,34
5,5,0,0,1,0,4,1,7,0,3,98000,92
4,6,1,0,1,0,2,1,6,2,2,256000,54
8,7,0,0,1,0,3,1,7,1,1,161000,83
5,4,1,0,1,0,3,1,5,1,1,110000,59
8,5,1,0,2,1,3,1,8,0,2,263435,0
7,9,1,0,1,0,3,1,6,0,2,155000,73
5,5,0,0,1,0,3,1,5,1,1,62383,44
6,7,0,0,1,1,3,1,6,1,1,188700,74
5,5,0,0,2,0,3,1,5,0,0,124000,31
7,5,0,0,2,0,2,1,6,1,2,178740,2
7,5,1,0,1,0,2,1,5,1,2,167000,37
5,7,0,0,1,1,3,1,7,2,1,146500,65
8,5,0,0,2,0,3,1,7,1,3,250000,1
6,5,0,0,2,1,3,1,7,0,2,187000,15
8,5,1,0,1,1,1,1,4,0,2,212000,25
7,6,0,0,2,1,3,1,8,1,2,190000,30
6,5,1,0,1,0,2,1,5,0,2,148000,3
8,5,1,0,2,0,2,1,7,1,3,440000,1
8,5,1,0,2,0,2,1,6,0,2,251000,7
5,6,1,0,1,0,2,1,5,0,2,132500,44
6,5,1,0,2,0,3,1,7,1,2,208900,11
9,5,0,0,2,1,3,1,9,1,3,380000,1
8,5,1,0,2,0,3,1,7,1,3,297000,2
4,7,0,0,1,0,2,1,7,0,2,89471,70
9,5,1,0,2,0,3,1,8,1,3,326000,2
9,5,1,0,2,0,2,1,6,1,3,374000,3
7,8,1,0,1,1,4,1,7,1,1,155000,94
6,5,1,0,2,0,2,1,5,0,2,164000,8
5,7,1,0,1,0,3,1,6,0,1,132500,45
5,7,0,0,1,0,3,1,5,1,1,147000,59
5,7,1,0,1,1,3,1,6,0,2,156000,42
5,6,0,0,2,0,3,1,7,1,2,175000,36
5,4,0,0,2,0,3,2,10,1,2,160000,106
4,8,1,0,1,0,1,1,3,0,1,86000,39
5,6,0,0,1,1,3,1,4,1,1,115000,32
6,7,1,0,1,0,3,1,5,2,1,133000,65
6,5,0,0,2,1,3,1,8,0,2,172785,0
5,6,0,0,1,1,3,1,6,1,1,155000,48
5,8,0,0,1,0,2,1,4,0,1,91300,71
4,5,0,0,1,0,2,1,4,0,0,34900,89
8,5,1,0,3,0,4,1,10,1,2,430000,15
7,6,1,0,2,0,4,1,8,0,1,184000,83
5,7,0,0,1,0,3,1,5,0,1,130000,42
5,7,0,1,1,0,2,1,5,0,1,120000,49
6,5,0,0,1,1,3,1,7,0,1,113000,34
7,5,0,0,2,1,3,1,7,0,2,226700,3
5,7,1,0,1,0,2,1,6,0,2,140000,42
7,8,1,0,2,0,1,1,6,2,2,289000,51
6,5,0,1,2,1,3,1,6,1,2,147000,35
5,5,0,0,2,0,4,2,10,0,2,124500,57
8,5,0,0,2,1,3,1,8,1,2,215000,13
6,5,0,0,2,0,2,1,4,0,2,208300,0
7,9,0,0,2,0,3,1,7,1,2,161000,80
5,6,1,0,1,0,3,1,6,0,1,124500,50
5,7,1,0,1,0,2,1,6,2,1,164900,58
